target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu, 0.6940, 0.8203, 0.7519, 0.6024, 0.7760, 0.9531
Jiuzhai valley (UAV-0.2m), 0.6915, 0.6139, 0.6504, 0.4819, 0.6506, 0.8453
Jiuzhai valley (UAV-0.5m), 0.5523, 0.7916, 0.6506, 0.4822, 0.6981, 0.9204
Lombok, 0.3321, 0.5099, 0.4022, 0.2517, 0.6086, 0.9658
Longxi River (SAT), 0.6038, 0.7645, 0.6747, 0.5091, 0.7298, 0.9529
Longxi River (UAV), 0.5914, 0.8088, 0.6833, 0.5189, 0.6890, 0.8777
Mengdong Township, 0.6062, 0.8132, 0.6946, 0.5321, 0.7123, 0.9042
Moxi town (UAV-0.2m), 0.8909, 0.6006, 0.7175, 0.5595, 0.6959, 0.8617
Moxi town (UAV-1m), 0.6861, 0.7732, 0.7271, 0.5712, 0.7670, 0.9646
Moxitaidi (SAT), 0.7309, 0.8433, 0.7831, 0.6435, 0.8044, 0.9673
Moxitaidi (UAV-0.6m), 0.5895, 0.4140, 0.4864, 0.3213, 0.6103, 0.9038
Moxitaidi (UAV-1m), 0.4301, 0.7329, 0.5421, 0.3718, 0.6613, 0.9521
palu, 0.1941, 0.1743, 0.1836, 0.1011, 0.5348, 0.9686
Tiburon Peninsula (planet), 0.7044, 0.8586, 0.7739, 0.6312, 0.7966, 0.9642
Tiburon Peninsula (Sentinel), 0.6558, 0.5861, 0.6190, 0.4482, 0.7080, 0.9686
Wenchuan, 0.7143, 0.6342, 0.6719, 0.5059, 0.7346, 0.9647